ISG15
MMP23A///MMP23B
CALML6
PLCH2
ARHGEF16
HES3
FBXO6
DRAXIN
LOC102724562///MST1L///MST1P2///MST1
HTR6
CNKSR1
CATSPER4
OPRD1
TINAGL1
CCDC28B
HPCA
RPS27///RPS27
CCDC30
ARTN
SNORD55
LURAP1
CYP4A22
FOXE3
ACOT11
MGC34796
PIN1P1
IFI44L
IFI44
GBP6
CDC7
HSP90B3P
GPR88
ERVK11-1///GSTM2
GSTM1
GSTM5
WNT2B
MOV10
HFE2
GPR89A///GPR89B
BNIPL
S100A1
ZNF320///RPS27///RGS4///RPS27
MTX1
IFI16
FCER1A
SLAMF8
LOC440700
FASLG
TOR3A
RGL1
CFH
GPR25
RPS10P7
RPS6KC1
DUSP5P1
SLC35F3
HES4
ACAP3
DVL1
NPHP4
CHD5
KIAA2013
CROCCP2
ESPNP
RAP1GAP
FAM46B
IFI6
SPOCD1
SMIM12
FHL3
ORC1
ITGB3BP
GBP1P1///GBP3///GBP1
GBP2
GBP2.1
GBP7
GBP4
GBP5
GSTM3
TSPAN2
ZNF697
TDRKH
THEM5
AIM2
VSIG8
ADAMTS4
PIGC
LMOD1
ZNF320///RPS27///RGS4///RPS27.1
KLHL12
PLXNA2
TAF1A
FAM89A
GNG4
SUV39H2
BMS1
FAM35DP///FAM35BP///FAM35A
FAM35DP///FAM35BP///FAM35A.1
REEP3
H2AFY2
NUDT13
IFIT2
IFIT3
IFIT1
IFIT5
NKX2-3
NANOS1
HTRA1
ANK3
DNA2
C10orf55
ZNF503
GRID1
ANKRD22
MYOF
PIK3AP1
SFRP5
ALDOAP2
CLRN3
SPRNP1
PGGHG
LOC692247
LOC171391
MUC5B
BRSK2
TRIM22
C11orf42
AKIP1
ADM
RCN1
PRRG4
PRR5L
P2RX3
SERPING1
MIR130A
FAM111A
MS4A4A
ACTN3
RHOD
IGHMBP2
MOGAT2
TMEM126B
JRKL
GRIK4
CRTAM
VWA5A
SPA17
IRF7
SLC25A22
TRPM5
LMO1
ABCC8
SAA2-SAA4///SAA4
ACP2
LOC441601
UBE2L6
MACROD1
BATF2
LTBP3
SNORA70E
SYTL2
ME3
SMCO4
CARD17///CARD17
RDX
COLCA1
TREH
PRMT8
TIGAR
NDUFA9
KCNA6
APOLD1
EMP1
ASIC1
EIF4B
HOXC12
HOXC8
PDE1B
METTL7B
INHBE
GLI1
MYF6
TCTN1
TRAFD1
OAS1
OAS3
OAS2
CABP1
ZNF664-FAM101A///FAM101A
MMP17
PARP11
SCARNA11
C1R
SLC2A3
C3AR1
LINC00612
CLECL1
KLRC2
PRH1-PRR4///PRH1
KIF21A
RACGAP1
CELA1
KRT85
KRT5
KRT71
KRT79
GPR84
STAT2
AVIL
MIR26A2
DPY19L2
ALKBH2
HRK
HNF1A-AS1
OASL
MORN3
IL31
GSX1
LACC1
CDADC1
ST13P4
OLFM4
CLDN10
CLYBL
FOXO1
EPSTI1
CCDC122
IRS2
GRTP1
GAS6-AS1///GAS6-AS1
CMTM5
REC8
AP4S1
IGBP1P1
SAMD4A
SIX6
ACOT1
AHSA1
IFI27
CYP46A1
SLC25A47
DLK1
MIR487A
MIR382
TDRD9
MIR203A
KLHL33
SLC22A17
PSME2
C11orf58
CATSPERB
RTL1
TMEM179
SNORD116-6
B2M
SLC27A2
AP4E1
SLC24A1
CORO2B
PML
ODF3L1
ISL2
MORF4L1
WDR93
IGF1R
LPCAT4
CEP152
NEDD4
RBPMS2
MAN2C1
SCAPER
MESP1
HBA2///HBA1
HBA2///HBA1.1
HBQ1
DECR2
TPSD1
TNFRSF12A
CRYM-AS1
TRIM72
TGFB1I1
HSF4
SLC9A5
CDH1
FUK
ZNRF1
GAN
OSGIN1
BANP
ZNF469
RGS11
SSTR5-AS1
PRSS27
TIGD7
ANKS3
ABCC6
ZNF747
SIAH1
ZNF423
GFOD2
ZFHX3
CHST5
TAF1C
LOC654780
C16orf74
VPS9D1
FANCA
DBNDD1
CYB5D2
SPNS3
XAF1
GUCY2D
MIEF2
TVP23C-CDRT4///TVP23C///TVP23B
SLFN5
CSF3
IFI35
WNT9B
DNAI2
MYO15B
ENPP7
RNF213
RNF213.1
BAIAP2
BAHCC1
LRRC45
FN3KRP
ITGAE
SLFN11
RDM1
CCL3
CCL3L3///CCL3L1///CCL3
CCL3L3///CCL3L1///CCL3.1
SRCIN1
TNS4
HAP1
DHX58
MPP3
SLC25A39
FAM171A2
WNT3
PRR15L
COIL
C17orf47
ERN1
ACOX1
FOXJ1
QRICH2
LGALS3BP
CCDC57
B3GNTL1
CCL3L3///CCL3L1///CCL3.2
RBFOX3
TGIF1
ZCCHC2
RPL6P27///RPL6
KLHL14
RPL7A
TPGS1
APC2
AMH
GIPC3
NRTN///NRTN
CCL25
OR7D2
C19orf66
ANGPTL8
CNN1
SNRPG
ANKLE1
FCHO1
NDUFA13
CEBPA-AS1
CHST8
FFAR3
FFAR3.1
UPK1A
KCNK6
LGALS7B///LGALS7
IFNL2
IFNL1
TMEM91
ZNF230
CEACAM16
NECTIN2
GIPR
ZNF114
DKKL1
RCN3
MYBPC2
CLEC11A
GPR32P1///GPR32
SPACA6
ZNF761///ZNF525///ZNF845///ZNF765
ZNF331
MIR520C///MIR520B
CACNG8
CACNG6
NLRP2
EPS8L1
BRSK1
CCDC106
ZNF667-AS1
ZSCAN22
MAP2K2
TMIGD2
SEMA6B
SH2D3A
CLEC4G
ADAMTS10
YIPF2
ZNF653
RTBDN
DNASE2
MIR24-2
MIR23A
PGLYRP2
NR2F6
KIAA1683
ZNF850
PPP1R14A
LGALS7B///LGALS7.1
IFNL3
LOC100507646
NUMBL
CEACAM1
CEACAM20
CKM
SIX5
GNG8
DACT3
FAM83E
FUT1
TULP2
CTU1
LILRA3
LILRA4
TNNI3
PTPRH
TMEM86B
FAM71E2
SBK2
ZNF835
ZNF418
SLC27A5
RSAD2
FAM84A
C2orf70
CRIM1
CYP1B1-AS1
GALM
VRK2
OTX1
ANAPC1
CNGA3
POU3F3
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1
FMNL2
GPD2
DHRS9
METAP1D
HOXD12
MTX2
HNRNPA3///HNRNPA3P1
SPATS2L
IGFBP2
WNT10A
SLC4A3
SP140
PTMA
CMPK2
TTC32
ALK///KIF5B///ALK
MYADML
EIF2AK2
LOC375196
SLC8A1
COX7A2L
SRBD1
PNPT1
VPS54
NAT8B
REG1B
CREG2
RBM43
RPRM
IFIH1
LINC01124
SESTD1
STAT1
PGAP1
TMEM237
BARD1
NPPC
HES6
TGM3
SNORD57
HSPA12B
LOC643406
CRLS1
BMP2
BTBD3
SLC24A3
LINC00028
MYH7B
MMP24
MYL9
TLDC2
LOC100287792
WFDC2
CD40
SNAI1
MIR1-1
COL9A3
SLC17A9
SIGLEC1
GPCPD1
NKX2-4
NKX2-2
NAPB
TSPY26P
NECAB3
TGM2
ADA
BMP7
ZBP1
CHRNA4
EEF1A2
HELZ2
ZBTB46
MAP3K7CL
LINC00189
KCNJ15
MX1
PSMG1///PSMG1
DNMT3L
SPATC1L
TPTEP1
USP18
RANBP1
LOC440792
ZNF74
P2RX6
VPREB1
CRYBB3
KREMEN1
RFPL1
TCN2
APOL6
APOL1
APOBEC3D
CACNA1I
FAM83F
SMDT1
OGFRP1
RIBC2
MIRLET7A3///MIRLET7BHG
USP41///USP18
SCARF2
DRICH1
TFIP11
RNF185-AS1
LARGE1
APOL3
CHADL
CENPM
WNT7B
SCO2
SLC22A14
RPS27///RPS27.1
CCRL2///CCRL2
DZIP3
PHLDB2
GRAMD1C
TIGIT
DTX3L
PARP14
CFAP100
EFCC1
MRPS22
C3orf80
MTHFD2
HTR3E
ECE2
RTP4
RPL35A
LMLN
SGO1
XCR1
MIR425
LAMB2
CAMKV
MIR135A1
ITIH4
CPOX
PARP9
XRN1
LAMP3
DGKG
RPL39L
PIGZ
CCRL2///CCRL2.1
AFAP1-AS1
SH3TC1
LAP3
PI4K2B
STIM2
ATP10D
SRD5A3
MT2A
MT2A.1
RUFY3
SLC4A4
HERC6
HERC5
TIGD2
CYP2U1
KIAA1109
IL15
MMAA
TMA16
FAM218A
SAP30
TLR3
FAM86EP
PSAPL1
RELL1
NAAA
HSD17B13
TIFA
TERF1
DDX60
DDX60L
AGA
LOC90768
WWC2-AS2
IRF2
CENPU
HMX1
LRRC14B
PRDM9
RXFP3
CRHBP
FAM151B
MSH3
NR2F1
GPR150
RGMB
PAM
LMNB1
IL4
SOWAHA
SPINK14
FBLL1
ARL10
SLC34A1
BTNL3
ERCC8
FAM169A
ANKRD34B
TSSK1B
LOC100132014
ZNF608
SLC25A2
ARAP3
PCDH12
ARSI
PFN3
PSMG4
TFAP2A-AS1
HFE
BTN3A2
BTN3A1
BTN3A3
BTN2A1
C2
PSMB9
RPS18P9///RPS18
HMGA1
RPL10A
CMTR1
DAAM2
PTK7
SMIM8
DSE
RNF217
STXBP5
RPS18P9
GCM2
DTNBP1
ZKSCAN4
TNXB///TNXA
TNXB///TNXA.1
HLA-DRB5
TAP2
TAP1
ETV7
MOCS1
CRIP3///CRIP3
TNFRSF21
RPL39P5///ZNF525///RPL39
HTR1B
SIM1
AK9
EPB41L2
CTGF
AHI1
RMND1
SERAC1
AMZ1
IL6
RPS2P32
HAUS6
TYW1
WBSCR17
CLDN4
CCDC146
CROT
STEAP1
FBXO24
MUC12
LRWD1
CAV1
ST7
CPED1
CCDC136
TMEM176A
ABCB8
NUB1
GALNT11
ACTR3B
TNRC18///TNRC18
FERD3L
HOXA10
DPY19L1
FAM183BP
NACAD
GRB10
NSUN5P2///NSUN5P1///NSUN5
TRIM74///TRIM73///TRIM50
WBSCR27
SEMA3C
HGF
SAMD9L
MIR106B
NAT16
MYL10
THAP5
DOCK4
CTTNBP2
CDC26///FKBP15
MIR183
TSGA13///COPG2
KLF14
ZC3HAV1
PARP12
KEL
ATP6V0E2-AS1
TMEM176B
KCNH2
FASTK
CRYGN
CLDN23
NPM2
FGF17
IDO1
LRRCC1
SDC2
NACAP1
WDYHV1
PTP4A3
LY6E
EXOSC4
HGH1
LOXL2
GNRH1
DUSP4
STAR
VCPIP1
TCEB1
RPL30///RPL30
SYBU
ENPP2
LYNX1
SLC39A4
MIR101-2
CD274
PDCD1LG2
RPL18A
PHF24
DNAJB5
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1.1
CTSL
TDRD7
SMC2
FKTN
ACTL7A
TMEM268
CFAP157
MIGA2
PRDM12
BARHL1
GFI1B
FAM69B
TRAF2
UAP1L1
TOR4A
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1.2
DDX58
APTX
SPAG8
ZNF658B///ZNF658
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1.3
CBWD6///CBWD3///CBWD5///CBWD2///CBWD1///CBWD6///CBWD3///CBWD5///CBWD1.4
C9orf40
FRMD3
HSD17B3
ZFP37
C5
OBP2B
FAM163B
CLCN4
FAM47B
INE1
PPP1R3F
BMP15
FLJ44635
TCEAL9
ZCCHC12
SLC25A14
